EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=604800
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-300
13,1.1629,1.1967,1.1265,0.0000,43118208,5
14,1.1395,1.1733,0.8689,0.0000,43944720,5
15,1.0953,1.1525,1.0719,0.0000,53506320,5
16,1.0536,1.0927,1.0536,0.0000,35281680,5
17,1.0459,1.0614,1.0172,0.0000,38889984,5
18,1.012,1.0562,1.0016,0.0000,41638512,5
19,0.9964,1.0276,0.9938,0.0000,42666672,5
20,0.9626,0.9938,0.9496,0.0000,49335792,5
21,0.9938,0.9938,0.9158,0.0000,51031824,5
a323643600,1.0068,1.0146,0.9756,0.0000,22933296,5
a324334800,0.9886,1.0016,0.9522,0.0000,37328592,5
1,0.9314,0.9964,0.9314,0.0000,28646400,5
2,0.9782,0.9808,0.9262,0.0000,32437200,5
TIMEZONE_OFFSET=-240
a326145600,0.9548,0.9912,0.9522,0.0000,27887184,5
1,0.9756,0.9964,0.9522,0.0000,33585696,5
2,0.9782,0.9912,0.9574,0.0000,30520128,5
3,1.0328,1.0328,0.973,0.0000,39332160,5
4,1.0302,1.0459,0.9964,0.0000,36727872,5
5,1.0536,1.0588,0.9288,0.0000,40696752,5
6,1.0354,1.0588,1.0302,0.0000,37222704,5
7,1.0433,1.0588,1.0302,0.0000,61895472,5
8,1.0771,1.0823,1.0406,0.0000,42546432,5
a331502400,1.1109,1.1135,1.0641,0.0000,35440272,5
a332193600,1.1187,1.1265,1.0953,0.0000,30822768,5
1,1.1525,1.1629,1.1109,0.0000,38015616,5
2,1.1239,1.1577,1.1187,0.0000,33191616,5
3,1.1655,1.1707,1.1213,0.0000,31212000,5
4,1.1733,1.1811,1.1447,0.0000,53544672,5
5,1.1993,1.2098,1.1733,0.0000,56576496,5
6,1.1785,1.1941,1.1655,0.0000,42234288,5
7,1.1343,1.1759,1.1239,0.0000,47591616,5
8,1.1265,1.1629,1.1187,0.0000,33302112,5
9,1.1161,1.1265,1.0849,0.0000,49076304,5
10,1.1343,1.1499,1.0979,0.0000,59618112,5
11,1.1161,1.1603,1.1161,0.0000,42748368,5
12,1.1187,1.1265,1.0849,0.0000,40672608,5
13,1.1135,1.1603,1.1031,0.0000,55360992,5
14,1.1187,1.1473,1.1135,0.0000,43651728,5
15,1.0875,1.1265,1.0771,0.0000,42258144,5
TIMEZONE_OFFSET=-300
a341874000,1.1265,1.1291,1.0719,0.0000,40336272,5
1,1.1343,1.1993,1.1239,0.0000,52093776,5
2,1.2124,1.215,1.1343,0.0000,55116096,5
3,1.2956,1.3086,1.1941,0.0000,105042720,5
4,1.2878,1.3112,1.2826,0.0000,49566384,5
5,1.2306,1.28,1.2098,0.0000,52425216,5
6,1.1915,1.2253,1.1551,0.0000,45121872,5
7,1.2071,1.215,1.1837,0.0000,33129072,5
8,1.2644,1.267,1.215,0.0000,29833056,5
9,1.2878,1.2904,1.2436,0.0000,16821600,5
10,1.3164,1.3424,1.2852,0.0000,83286528,5
11,1.2696,1.3346,1.2644,0.0000,54712272,5
12,1.2618,1.2774,1.2306,0.0000,39202416,5
13,1.2748,1.3086,1.2592,0.0000,37448736,5
14,1.2904,1.2956,1.2462,0.0000,42575424,5
15,1.2774,1.3216,1.2722,0.0000,38909088,5
16,1.3164,1.319,1.2722,0.0000,23692608,5
17,1.3892,1.4101,1.3086,0.0000,75080016,5
18,1.3528,1.3763,1.3528,0.0000,48831264,5
19,1.3944,1.4153,1.3528,0.0000,61270896,5
20,1.3918,1.4387,1.3918,0.0000,49695984,5
21,1.3606,1.4023,1.3554,0.0000,53319024,5
22,1.3971,1.4309,1.3606,0.0000,37501488,5
23,1.384,1.3997,1.3554,0.0000,35233440,5
a356302800,1.371,1.3918,1.358,0.0000,26517696,5
a356994000,1.4257,1.4413,1.371,0.0000,45626400,5
TIMEZONE_OFFSET=-240
a357595200,1.358,1.4543,1.3554,0.0000,43272144,5
1,1.3268,1.3502,1.3216,0.0000,47038992,5
2,1.345,1.3476,1.2956,0.0000,52103184,5
3,1.3606,1.3736,1.345,0.0000,42738720,5
4,1.3684,1.3892,1.3632,0.0000,27084672,5
5,1.3736,1.3892,1.3606,0.0000,48499776,5
6,1.3789,1.3918,1.3606,0.0000,50243760,5
7,1.345,1.3866,1.3424,0.0000,44406000,5
8,1.3294,1.3528,1.3294,0.0000,36079248,5
a362952000,1.2592,1.332,1.254,0.0000,34565664,5
a363643200,1.319,1.3216,1.2566,0.0000,38260608,5
1,1.2878,1.3268,1.2826,0.0000,33787344,5
2,1.2436,1.28,1.2306,0.0000,41465376,5
3,1.2696,1.2696,1.2384,0.0000,41576016,5
4,1.2488,1.2722,1.2358,0.0000,29400624,5
5,1.2098,1.2774,1.2019,0.0000,34008288,5
6,1.1915,1.215,1.1863,0.0000,32691936,5
7,1.1785,1.1889,1.1499,0.0000,45290160,5
8,1.1551,1.1889,1.1499,0.0000,41470320,5
9,1.1395,1.1525,1.1161,0.0000,68511696,5
10,1.0823,1.1525,1.0719,0.0000,45530256,5
11,1.0849,1.1343,1.0641,0.0000,51603552,5
12,1.1681,1.1759,1.0693,0.0000,42633120,5
13,1.1811,1.2019,1.1629,0.0000,33153168,5
14,1.1603,1.1811,1.1525,0.0000,31120800,5
15,1.1187,1.1603,1.1161,0.0000,29612016,5
TIMEZONE_OFFSET=-300
a373323600,1.1291,1.1317,1.1057,0.0000,31884528,5
1,1.1499,1.1785,1.1447,0.0000,46525008,5
2,1.1759,1.1993,1.1499,0.0000,40826352,5
3,1.1863,1.1915,1.1499,0.0000,31913424,5
4,1.2514,1.254,1.1941,0.0000,38952624,5
5,1.2462,1.2566,1.2227,0.0000,50834784,5
6,1.241,1.254,1.2306,0.0000,48643920,5
7,1.2201,1.2306,1.2071,0.0000,35886960,5
a378075600,1.2071,1.2253,1.1993,0.0000,26099712,5
1,1.1941,1.2098,1.1863,0.0000,15053424,5
a379371600,1.1993,1.2201,1.1863,0.0000,38203008,5
1,1.1655,1.2175,1.1447,0.0000,42887856,5
2,1.2279,1.2488,1.1603,0.0000,49710432,5
3,1.3008,1.3034,1.2124,0.0000,65085936,5
4,1.3112,1.3268,1.2748,0.0000,59329680,5
5,1.2488,1.306,1.241,0.0000,50820288,5
6,1.2774,1.2878,1.2253,0.0000,46054128,5
7,1.3086,1.3138,1.2592,0.0000,58748352,5
8,1.254,1.3268,1.2514,0.0000,76487712,5
9,1.2332,1.2774,1.2332,0.0000,75267264,5
10,1.2488,1.2618,1.2279,0.0000,44194656,5
11,1.28,1.2982,1.2514,0.0000,56019264,5
12,1.3372,1.345,1.28,0.0000,51070176,5
a387147600,1.3372,1.3502,1.3242,0.0000,31577136,5
a387838800,1.3294,1.3424,1.3112,0.0000,36324432,5
1,1.3528,1.358,1.3138,0.0000,44953680,5
TIMEZONE_OFFSET=-240
a389044800,1.3346,1.3815,1.332,0.0000,51079920,5
1,1.358,1.3789,1.332,0.0000,51324912,5
2,1.3034,1.3554,1.3008,0.0000,48773616,5
3,1.3034,1.306,1.2878,0.0000,45919488,5
4,1.2878,1.3112,1.28,0.0000,47269632,5
5,1.2618,1.293,1.2592,0.0000,52583856,5
6,1.2904,1.293,1.2488,0.0000,76752000,5
7,1.2592,1.2852,1.254,0.0000,39192768,5
8,1.2982,1.3294,1.254,0.0000,45299616,5
9,1.3216,1.3372,1.293,0.0000,62899776,5
10,1.371,1.3763,1.3086,0.0000,54457632,5
11,1.4439,1.4465,1.384,0.0000,81268560,5
12,1.4023,1.4543,1.3971,0.0000,56278704,5
13,1.3684,1.4127,1.358,0.0000,67348896,5
14,1.3398,1.4231,1.3372,0.0000,71120688,5
15,1.332,1.358,1.3086,0.0000,82383216,5
16,1.4569,1.4595,1.332,0.0000,127034208,5
17,1.5089,1.5401,1.4439,0.0000,164353056,5
18,1.626,1.652,1.4855,0.0000,140948928,5
19,1.5505,1.6156,1.5297,0.0000,78231696,5
20,1.5766,1.6078,1.5401,0.0000,67584288,5
21,1.5792,1.6442,1.5609,0.0000,86203104,5
22,1.5974,1.6078,1.548,0.0000,70904592,5
23,1.7119,1.7222,1.5662,0.0000,115858320,5
24,1.6598,1.7613,1.6546,0.0000,97580784,5
25,1.7743,1.8029,1.6936,0.0000,95836704,5
26,1.7873,1.8055,1.7014,0.0000,75767040,5
TIMEZONE_OFFSET=-300
a405378000,1.9122,1.9616,1.7717,0.0000,86188608,5
1,1.8861,1.9304,1.8471,0.0000,80148960,5
2,1.8835,1.907,1.7951,0.0000,80931984,5
3,1.8419,1.8887,1.8159,0.0000,46332720,5
4,1.907,1.9408,1.8367,0.0000,93453456,5
5,1.9512,2.0709,1.907,0.0000,86539248,5
6,1.9278,2.0084,1.8966,0.0000,70986096,5
a409525200,2.037,2.0475,1.9304,0.0000,46529712,5
a410216400,1.9746,2.0813,1.9616,0.0000,38303904,5
1,2.011,2.0526,1.8966,0.0000,74512848,5
2,2.0032,2.0813,1.9876,0.0000,82301376,5
3,1.9538,2.024,1.9512,0.0000,59454624,5
4,2.0735,2.0969,1.8887,0.0000,127481088,5
5,2.0917,2.1567,2.0657,0.0000,108285888,5
6,2.1385,2.1749,2.0995,0.0000,76463712,5
7,2.1593,2.1827,2.0891,0.0000,56739936,5
8,2.2608,2.2686,2.1541,0.0000,72624576,5
9,2.2608,2.3154,2.2061,0.0000,106642608,5
10,2.1333,2.2634,2.1125,0.0000,58897440,5
11,2.1203,2.1723,2.1125,0.0000,49926720,5
12,2.1853,2.2217,2.1125,0.0000,73523088,5
a417992400,2.1853,2.2374,2.1593,0.0000,33840288,5
a418683600,2.1957,2.1957,2.1385,0.0000,50205360,5
1,2.2634,2.2686,2.2009,0.0000,58315872,5
